[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[185] pstFrameInfo->nFrameNum[187]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[187] pstFrameInfo->nFrameNum[189]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[190] pstFrameInfo->nFrameNum[192]
[2018-11-25 16:15:21] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:21] |    StreamProcess.cpp-L0541: nFrameNum[192] pstFrameInfo->nFrameNum[194]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[196] pstFrameInfo->nFrameNum[198]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[199] pstFrameInfo->nFrameNum[201]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[201] pstFrameInfo->nFrameNum[203]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[204] pstFrameInfo->nFrameNum[206]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[207] pstFrameInfo->nFrameNum[209]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[209] pstFrameInfo->nFrameNum[211]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[212] pstFrameInfo->nFrameNum[214]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[215] pstFrameInfo->nFrameNum[217]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[218] pstFrameInfo->nFrameNum[220]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[221] pstFrameInfo->nFrameNum[223]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[223] pstFrameInfo->nFrameNum[225]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[226] pstFrameInfo->nFrameNum[228]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[228] pstFrameInfo->nFrameNum[230]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[231] pstFrameInfo->nFrameNum[233]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[233] pstFrameInfo->nFrameNum[235]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[235] pstFrameInfo->nFrameNum[237]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[237] pstFrameInfo->nFrameNum[239]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[240] pstFrameInfo->nFrameNum[242]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[243] pstFrameInfo->nFrameNum[247]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[247] pstFrameInfo->nFrameNum[249]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[250] pstFrameInfo->nFrameNum[252]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[253] pstFrameInfo->nFrameNum[255]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[255] pstFrameInfo->nFrameNum[257]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[258] pstFrameInfo->nFrameNum[260]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[261] pstFrameInfo->nFrameNum[263]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[263] pstFrameInfo->nFrameNum[265]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[266] pstFrameInfo->nFrameNum[268]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[268] pstFrameInfo->nFrameNum[270]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[270] pstFrameInfo->nFrameNum[272]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[272] pstFrameInfo->nFrameNum[274]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[275] pstFrameInfo->nFrameNum[277]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[277] pstFrameInfo->nFrameNum[279]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[280] pstFrameInfo->nFrameNum[282]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[282] pstFrameInfo->nFrameNum[286]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[286] pstFrameInfo->nFrameNum[288]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[288] pstFrameInfo->nFrameNum[290]
[2018-11-25 16:15:22] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:22] |    StreamProcess.cpp-L0541: nFrameNum[291] pstFrameInfo->nFrameNum[293]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[293] pstFrameInfo->nFrameNum[295]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[296] pstFrameInfo->nFrameNum[298]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[299] pstFrameInfo->nFrameNum[301]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[302] pstFrameInfo->nFrameNum[304]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[304] pstFrameInfo->nFrameNum[306]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[306] pstFrameInfo->nFrameNum[308]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[308] pstFrameInfo->nFrameNum[310]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[310] pstFrameInfo->nFrameNum[312]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[312] pstFrameInfo->nFrameNum[314]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
